Subnet,Network View,Comment
10.96.66.0/24,default,ORL1 - mckutility1
10.96.68.0/24,default,ORL1 - mckdcops
10.96.69.0/24,default,ORL1 - MckMMS wireless handheld VLAN121 - Secondary
10.96.70.0/24,default,ORL1 Corp Security VLAN
10.96.72.0/24,default,ORL1 - Printer VLAN
10.96.76.0/24,default,ORL1 - PDMA
10.96.79.0/24,default,ORL1 - Prod Server
10.1.51.0/24,default,IDS Security Net
10.1.57.0/24,default,DDCCIP Mainframe
10.1.58.0/24,default,Ddccip2 Maniframe
10.1.59.0/24,default,DDCA
10.1.60.0/24,default,sapnet???
10.1.61.0/24,default,fwsap??
10.1.62.0/24,default,SAP
10.1.63.0/24,default,SAP SUN Environment
10.1.64.0/24,default,SAP SUN Environment
10.1.65.0/24,default,vlan 65 SAP
10.1.66.0/24,default,vlan 66 SAP
10.1.67.0/24,default,vlan 67 SAP
10.1.68.0/24,default,SAP Management Segment
10.1.74.0/24,default,CARMA Project
10.1.75.0/24,default,Speechworks
10.98.0.0/20,default,Intelliclaim - SUB
10.98.16.0/24,default,"Cheektowaga, NY User"
10.98.17.0/24,default,"Cheektowaga, NY NAT"
10.98.18.0/24,default,"Cheektowaga, NY VoIP"
10.98.19.0/24,default,"Cheektowaga, NY"
10.98.20.0/24,default,"Everett, WA - EXTR"
10.98.21.0/24,default,"Everett, WA - EXTR"
10.98.22.0/24,default,"Everett, WA - EXTR"
10.98.23.0/24,default,"Everett, WA - EXTR"
10.98.24.0/24,default,"Cheektowaga, NY"
10.98.25.0/24,default,"Cheektowaga, NY"
10.98.26.0/24,default,"Cheektowaga, NY"
10.98.27.0/24,default,"Cheektowaga, NY"
10.98.28.0/24,default,"Cheektowaga, NY"
10.98.29.0/24,default,"Cheektowaga, NY"
10.98.30.0/24,default,"Cheektowaga, NY"
10.98.31.0/24,default,"Cheektowaga, NY"
10.98.100.0/23,default,Conference Network
10.14.34.0/24,default,DEN1 - Secure Guest Access
10.99.64.0/24,default,CHL1 - 1st Floor User
10.1.86.0/24,default,AS5300 Segment
10.99.65.0/24,default,Available
10.99.66.0/24,default,CHL1 - 2nd Floor West Users
10.99.67.0/24,default,CHL1 - 2nd Floor West VoIP
10.99.68.0/24,default,CHL1 - 2nd Floor East User
10.99.69.0/24,default,CHL1 - Voice Vlan
10.99.70.0/24,default,CHL1 - Telepresence
10.99.71.0/24,default,CHL1 - SF1 Voice
10.99.72.0/24,default,CHL1 - 3rd West Users
10.99.73.0/24,default,CHL1 - 3rd West VOIP
10.99.74.0/24,default,CHL1 - 3rd East Users
10.99.75.0/24,default,CHL1 - 3rd East VOIP
10.99.76.0/24,default,CHL1 - Printer VLAN
10.99.77.0/24,default,CHL1 - Training Room 1
10.99.78.0/24,default,CHL1 - development segment
10.99.79.0/24,default,CHL1 - Training Room 2
10.99.80.0/24,default,CHL1 - Unused
10.99.81.0/24,default,CHL1 - Training Room 3
10.99.84.0/24,default,CHL1 - Future Printer Vlan 2nd
10.99.85.0/24,default,CHL1 - CIT Lab
10.99.86.0/24,default,CHL1 - PC Development Segement
