id,mgmtIP,name,subTypeName,fDiscoveryTime,lDiscoveryTime,DeviceID,ManagementIP,DeviceName,DisplayName,DeviceType,DeviceCategory,ClassificationStatus,LikelyNetworkDevice,NameType,IPVersion,IPScope,IPValidation,FirstDiscoveryUTC,LastDiscoveryUTC,DiscoveryRecency,LastDiscoveryAgeHours,DiscoverySpanDays,RawOccurrenceCount,UniquePageCount,FirstPageSeen,LastPageSeen,RepeatedAcrossPages,RequestedSite,SiteFieldPresent,SiteValues,SiteMatchStatus,DataQualityStatus,DataQualityIssues,_identity,_raw_occurrence_count,_unique_page_count,_first_page_seen,_last_page_seen,_repeated_across_pages,_display_name,_device_category,_classification_status,_likely_network_device,_first_last_discovery_span_days,_requested_site,_site_values,_site_match_status
00a0df4c-59aa-4951-a082-28f243cd4ff9,10.187.94.98,AUS3-USON-MDFA1-FW2,Palo Alto Firewall,2026-07-21T19:22:19Z,2026-09-09T02:47:28Z,00a0df4c-59aa-4951-a082-28f243cd4ff9,10.187.94.98,AUS3-USON-MDFA1-FW2,AUS3-USON-MDFA1-FW2,Palo Alto Firewall,Firewall,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-07-21T19:22:19Z,2026-09-09T02:47:28Z,WITHIN_24_HOURS,15.7,49.31,50,50,427,476,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:00a0df4c-59aa-4951-a082-28f243cd4ff9,50,50,427,476,YES,AUS3-USON-MDFA1-FW2,Firewall,CLASSIFIED,YES,49.31,DDC1,,UNKNOWN_NO_SITE_FIELD
00ba3574-439f-5998-cb91-2a84a84dc0c1,10.141.5.153,818-DC-B,Cisco Meraki Switch,2026-07-24T20:57:54Z,2026-07-24T20:57:54Z,00ba3574-439f-5998-cb91-2a84a84dc0c1,10.141.5.153,818-DC-B,818-DC-B,Cisco Meraki Switch,Switch,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-07-24T20:57:54Z,2026-07-24T20:57:54Z,OLDER_THAN_7_DAYS,1125.5,0.0,50,50,131,180,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:00ba3574-439f-5998-cb91-2a84a84dc0c1,50,50,131,180,YES,818-DC-B,Switch,CLASSIFIED,YES,0.0,DDC1,,UNKNOWN_NO_SITE_FIELD
00d98191-b589-45eb-82cd-14af6b8fbf95,10.46.5.23,10.46.5.23,Unclassified Device,2026-03-26T17:31:45Z,2026-09-09T04:12:19Z,00d98191-b589-45eb-82cd-14af6b8fbf95,10.46.5.23,10.46.5.23,10.46.5.23,Unclassified Device,Unclassified,UNCLASSIFIED,NO,IP_ADDRESS,IPv4,Private,VALID,2026-03-26T17:31:45Z,2026-09-09T04:12:19Z,WITHIN_24_HOURS,14.3,166.44,50,50,60,109,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,UNCLASSIFIED_DEVICE;REPEATED_API_RECORD;NO_SITE_FIELD,id:00d98191-b589-45eb-82cd-14af6b8fbf95,50,50,60,109,YES,10.46.5.23,Unclassified,UNCLASSIFIED,NO,166.44,DDC1,,UNKNOWN_NO_SITE_FIELD
00f13f1e-020a-46df-aa19-ce681ace4ab7,10.184.8.218,ABL4-MDFA1-ART1,Cisco Router,2026-03-11T17:36:16Z,2026-09-09T01:32:43Z,00f13f1e-020a-46df-aa19-ce681ace4ab7,10.184.8.218,ABL4-MDFA1-ART1,ABL4-MDFA1-ART1,Cisco Router,Router,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-03-11T17:36:16Z,2026-09-09T01:32:43Z,WITHIN_24_HOURS,17.0,181.33,50,50,151,200,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:00f13f1e-020a-46df-aa19-ce681ace4ab7,50,50,151,200,YES,ABL4-MDFA1-ART1,Router,CLASSIFIED,YES,181.33,DDC1,,UNKNOWN_NO_SITE_FIELD
033d0c6d-4ca5-b8a4-cce4-e5bc5e2c1afd,10.35.190.40,ASB2-MDFA1-FW2,Palo Alto Firewall,2026-01-20T14:53:12Z,2026-02-26T02:52:23Z,033d0c6d-4ca5-b8a4-cce4-e5bc5e2c1afd,10.35.190.40,ASB2-MDFA1-FW2,ASB2-MDFA1-FW2,Palo Alto Firewall,Firewall,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-01-20T14:53:12Z,2026-02-26T02:52:23Z,OLDER_THAN_7_DAYS,4695.6,36.5,50,50,307,356,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:033d0c6d-4ca5-b8a4-cce4-e5bc5e2c1afd,50,50,307,356,YES,ASB2-MDFA1-FW2,Firewall,CLASSIFIED,YES,36.5,DDC1,,UNKNOWN_NO_SITE_FIELD
03bdfe0d-2cf5-4457-b13c-0ce50b02a1f0,10.186.129.252,ARL1-MDFA1-ASW2,Cisco IOS Switch,2026-03-26T21:45:53Z,2026-09-09T01:16:52Z,03bdfe0d-2cf5-4457-b13c-0ce50b02a1f0,10.186.129.252,ARL1-MDFA1-ASW2,ARL1-MDFA1-ASW2,Cisco IOS Switch,Switch,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-03-26T21:45:53Z,2026-09-09T01:16:52Z,WITHIN_24_HOURS,17.2,166.15,50,50,270,319,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:03bdfe0d-2cf5-4457-b13c-0ce50b02a1f0,50,50,270,319,YES,ARL1-MDFA1-ASW2,Switch,CLASSIFIED,YES,166.15,DDC1,,UNKNOWN_NO_SITE_FIELD
03c7f7bc-ac12-49f4-b434-426bbc98876b,10.50.64.85,ANC1-MDFA1-ERT2,SilverPeak WAN Optimizer,2026-04-27T19:37:55Z,2026-09-09T04:41:14Z,03c7f7bc-ac12-49f4-b434-426bbc98876b,10.50.64.85,ANC1-MDFA1-ERT2,ANC1-MDFA1-ERT2,SilverPeak WAN Optimizer,Other,CLASSIFIED,NO,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-04-27T19:37:55Z,2026-09-09T04:41:14Z,WITHIN_24_HOURS,13.8,134.38,50,50,249,298,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:03c7f7bc-ac12-49f4-b434-426bbc98876b,50,50,249,298,YES,ANC1-MDFA1-ERT2,Other,CLASSIFIED,NO,134.38,DDC1,,UNKNOWN_NO_SITE_FIELD
052173c0-34d4-4425-b985-00e01c6dd54b,10.12.1.219,ADC21-R206-MSW1,Cisco IOS Switch,2026-05-05T21:51:48Z,2026-09-09T04:59:19Z,052173c0-34d4-4425-b985-00e01c6dd54b,10.12.1.219,ADC21-R206-MSW1,ADC21-R206-MSW1,Cisco IOS Switch,Switch,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-05-05T21:51:48Z,2026-09-09T04:59:19Z,WITHIN_24_HOURS,13.5,126.3,50,50,190,239,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:052173c0-34d4-4425-b985-00e01c6dd54b,50,50,190,239,YES,ADC21-R206-MSW1,Switch,CLASSIFIED,YES,126.3,DDC1,,UNKNOWN_NO_SITE_FIELD
053aadaa-5479-4d69-80be-a121f7c4def5,10.31.79.21,10.31.79.21,Unclassified Device,2026-06-24T03:06:33Z,2026-09-09T04:24:23Z,053aadaa-5479-4d69-80be-a121f7c4def5,10.31.79.21,10.31.79.21,10.31.79.21,Unclassified Device,Unclassified,UNCLASSIFIED,NO,IP_ADDRESS,IPv4,Private,VALID,2026-06-24T03:06:33Z,2026-09-09T04:24:23Z,WITHIN_24_HOURS,14.1,77.05,50,50,24,73,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,UNCLASSIFIED_DEVICE;REPEATED_API_RECORD;NO_SITE_FIELD,id:053aadaa-5479-4d69-80be-a121f7c4def5,50,50,24,73,YES,10.31.79.21,Unclassified,UNCLASSIFIED,NO,77.05,DDC1,,UNKNOWN_NO_SITE_FIELD
053d2db9-af6e-4f12-beef-69410e9dbfc8,10.254.198.95,ATL5-RDFK1-RSW1,Aruba Switch,2026-03-20T22:02:42Z,2026-09-09T04:45:43Z,053d2db9-af6e-4f12-beef-69410e9dbfc8,10.254.198.95,ATL5-RDFK1-RSW1,ATL5-RDFK1-RSW1,Aruba Switch,Switch,CLASSIFIED,YES,HOSTNAME_OR_LABEL,IPv4,Private,VALID,2026-03-20T22:02:42Z,2026-09-09T04:45:43Z,WITHIN_24_HOURS,13.7,172.28,50,50,378,427,YES,DDC1,NO,,UNKNOWN_NO_SITE_FIELD,REVIEW_REQUIRED,REPEATED_API_RECORD;NO_SITE_FIELD,id:053d2db9-af6e-4f12-beef-69410e9dbfc8,50,50,378,427,YES,ATL5-RDFK1-RSW1,Switch,CLASSIFIED,YES,172.28,DDC1,,UNKNOWN_NO_SITE_FIELD
