Device ID,Management IP,Device Name,Display Name,Device Type,Device Category,Requested Site,Interface Name,Interface Category,Interface Type,Interface IP,Interface IPs,Interface Status,VRF Name,Collection Status,Collection Error
00a0df4c-59aa-4951-a082-28f243cd4ff9,10.187.94.98,AUS3-USON-MDFA1-FW2,AUS3-USON-MDFA1-FW2,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/00a0df4c-59aa-4951-a082-28f243cd4ff9/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
00ba3574-439f-5998-cb91-2a84a84dc0c1,10.141.5.153,818-DC-B,818-DC-B,Cisco Meraki Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/00ba3574-439f-5998-cb91-2a84a84dc0c1/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
00d98191-b589-45eb-82cd-14af6b8fbf95,10.46.5.23,10.46.5.23,10.46.5.23,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/00d98191-b589-45eb-82cd-14af6b8fbf95/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
00f13f1e-020a-46df-aa19-ce681ace4ab7,10.184.8.218,ABL4-MDFA1-ART1,ABL4-MDFA1-ART1,Cisco Router,Router,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/00f13f1e-020a-46df-aa19-ce681ace4ab7/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
033d0c6d-4ca5-b8a4-cce4-e5bc5e2c1afd,10.35.190.40,ASB2-MDFA1-FW2,ASB2-MDFA1-FW2,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/033d0c6d-4ca5-b8a4-cce4-e5bc5e2c1afd/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
03bdfe0d-2cf5-4457-b13c-0ce50b02a1f0,10.186.129.252,ARL1-MDFA1-ASW2,ARL1-MDFA1-ASW2,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/03bdfe0d-2cf5-4457-b13c-0ce50b02a1f0/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
03c7f7bc-ac12-49f4-b434-426bbc98876b,10.50.64.85,ANC1-MDFA1-ERT2,ANC1-MDFA1-ERT2,SilverPeak WAN Optimizer,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/03c7f7bc-ac12-49f4-b434-426bbc98876b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
052173c0-34d4-4425-b985-00e01c6dd54b,10.12.1.219,ADC21-R206-MSW1,ADC21-R206-MSW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/052173c0-34d4-4425-b985-00e01c6dd54b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
053aadaa-5479-4d69-80be-a121f7c4def5,10.31.79.21,10.31.79.21,10.31.79.21,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/053aadaa-5479-4d69-80be-a121f7c4def5/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
053d2db9-af6e-4f12-beef-69410e9dbfc8,10.254.198.95,ATL5-RDFK1-RSW1,ATL5-RDFK1-RSW1,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/053d2db9-af6e-4f12-beef-69410e9dbfc8/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0554ba43-4c0d-4d18-ab9d-08319c1f6ea8,10.254.156.218,AST2-MDFA1-RC1,AST2-MDFA1-RC1,Opengear Infrastructure Manager,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0554ba43-4c0d-4d18-ab9d-08319c1f6ea8/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
059a47eb-4263-44a2-af31-39e7f2a847aa,10.12.1.202,ADC21-R212-MSW1,ADC21-R212-MSW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/059a47eb-4263-44a2-af31-39e7f2a847aa/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
